Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude
41926285,3/11/2019 0:00,3/13/2019 12:44,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10458,377 EAST 199 STREET,EAST 199 STREET,,,,,LATLONG,BRONX,,N/A,Closed,4/10/2019 4:02,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/13/2019 12:44,Unspecified BRONX,,BRONX,1016023,255405,MOBILE,Unspecified,BRONX,,,,,,,,40.86764511,-73.88512329
41921120,3/11/2019 0:00,3/13/2019 14:41,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10457,,,,,VALENTINE AVENUE,EAST 180 STREET,INTERSECTION,BRONX,,N/A,Closed,4/10/2019 1:01,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/13/2019 14:41,05 BRONX,,BRONX,1011911,249890,PHONE,Unspecified,BRONX,,,,,,,,40.85252194,-73.90001316
41936133,3/11/2019 0:00,3/13/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10024,300 WEST 88 STREET,WEST 88 STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,4/10/2019 7:19,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/12/2019 0:00,Unspecified MANHATTAN,,MANHATTAN,990524,227145,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.79013445,-73.97734249
41934521,3/11/2019 0:00,3/13/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10025,973 AMSTERDAM AVENUE,AMSTERDAM AVENUE,,,,,LATLONG,NEW YORK,,N/A,Closed,4/10/2019 16:45,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 16:49,Unspecified MANHATTAN,,MANHATTAN,994053,231270,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.80145325,-73.96459207
41933772,3/11/2019 0:00,3/13/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10023,41 WEST   72 STREET,WEST   72 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,4/10/2019 12:11,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/13/2019 0:00,07 MANHATTAN,1011257501,MANHATTAN,990368,222377,PHONE,Unspecified,MANHATTAN,,,,,,,,40.77704767,-73.9779102
41932236,3/11/2019 0:00,3/13/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11230,856 EAST   15 STREET,EAST   15 STREET,PEDESTRIAN OVERPASS,AVENUE I,,,ADDRESS,BROOKLYN,,N/A,Closed,4/10/2019 15:03,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/12/2019 0:00,14 BROOKLYN,3066980028,BROOKLYN,994793,168234,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62843372,-73.96201795
41931574,3/11/2019 0:00,3/11/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10031,517 WEST 147 STREET,WEST 147 STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,4/10/2019 23:49,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 23:53,Unspecified MANHATTAN,,MANHATTAN,998767,240634,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.82714832,-73.94754509
41929285,3/11/2019 0:00,3/11/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025,251 WEST 109 STREET,WEST 109 STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,4/10/2019 1:51,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 1:53,Unspecified MANHATTAN,,MANHATTAN,993569,232003,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.80346565,-73.96633923
41927052,3/11/2019 0:00,3/11/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10031,517 WEST 147 STREET,WEST 147 STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,4/10/2019 23:44,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 23:48,Unspecified MANHATTAN,,MANHATTAN,998767,240634,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.82714832,-73.94754509
41925628,3/11/2019 0:00,3/12/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11236,115 EAST   87 STREET,EAST   87 STREET,BEND,AVENUE B,,,ADDRESS,BROOKLYN,,N/A,Closed,4/10/2019 12:36,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/12/2019 0:00,17 BROOKLYN,3047470035,BROOKLYN,1006505,175833,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64926966,-73.91979943
41927229,3/11/2019 0:00,3/11/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10459,957 KELLY STREET,KELLY STREET,,,,,LATLONG,BRONX,,N/A,Closed,4/10/2019 7:17,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 7:20,Unspecified BRONX,,BRONX,1012989,238622,MOBILE,Unspecified,BRONX,,,,,,,,40.82159113,-73.89616477
41925556,3/11/2019 0:00,3/11/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10459,967 KELLY STREET,KELLY STREET,,,,,LATLONG,BRONX,,N/A,Closed,4/10/2019 19:35,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 19:38,Unspecified BRONX,,BRONX,1012979,238717,MOBILE,Unspecified,BRONX,,,,,,,,40.82185191,-73.89620049
41936192,3/11/2019 0:00,,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11225,492 LEFFERTS AVENUE,LEFFERTS AVENUE,BALFOUR PLACE,LAMONT COURT,,,ADDRESS,BROOKLYN,,N/A,Assigned,4/10/2019 15:57,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 16:02,09 BROOKLYN,3013327505,BROOKLYN,999562,180727,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66271735,-73.94480887
41936144,3/11/2019 0:00,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11220,353 58 STREET,58 STREET,GOWANUS EXPWY EB EN BELT PKWY,4 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,4/10/2019 18:22,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 18:30,07 BROOKLYN,3008460052,BROOKLYN,979221,173367,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64252756,-74.01812123
41935505,3/11/2019 0:00,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10013,135 WATTS STREET,WATTS STREET,GREENWICH STREET,WASHINGTON STREET,,,ADDRESS,NEW YORK,,N/A,Assigned,4/10/2019 9:15,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 9:18,01 MANHATTAN,1002240024,MANHATTAN,981542,203092,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72411692,-74.00976981
41935504,3/11/2019 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,11212,250 EAST   95 STREET,EAST   95 STREET,WINTHROP STREET,CLARKSON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,4/10/2019 9:39,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 9:42,17 BROOKLYN,3046300040,BROOKLYN,1005828,179891,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66040966,-73.92222615
41935281,3/11/2019 0:00,3/11/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11368,103-46 52 AVENUE,52 AVENUE,,,,,LATLONG,CORONA,,N/A,Closed,4/10/2019 22:05,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 22:08,Unspecified QUEENS,,QUEENS,1024011,209752,MOBILE,Unspecified,QUEENS,,,,,,,,40.74230801,-73.85651274
41934788,3/11/2019 0:00,3/11/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11222,99 MESEROLE AVENUE,MESEROLE AVENUE,LORIMER STREET,MANHATTAN AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,4/10/2019 17:42,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 17:47,01 BROOKLYN,3025960001,BROOKLYN,997198,204113,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.72691025,-73.9532848
41934649,3/11/2019 0:00,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11220,272 45 STREET,45 STREET,2 AVENUE,3 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,4/10/2019 14:09,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 14:15,07 BROOKLYN,3007450041,BROOKLYN,980761,176459,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65101517,-74.01257367
41934593,3/11/2019 0:00,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11211,149 NORTH    4 STREET,NORTH    4 STREET,BEDFORD AVENUE,DRIGGS AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,4/10/2019 10:36,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 10:47,01 BROOKLYN,3023447502,BROOKLYN,995592,200108,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7159197,-73.95908585
41934592,3/11/2019 0:00,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),10036,448 WEST   48 STREET,WEST   48 STREET,9 AVENUE,10 AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,4/10/2019 10:04,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 10:09,04 MANHATTAN,1010570058,MANHATTAN,986669,217192,PHONE,Unspecified,MANHATTAN,,,,,,,,40.76281798,-73.99126776
41934491,3/11/2019 0:00,3/11/2019 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10457,2087 TIEBOUT AVENUE,TIEBOUT AVENUE,EAST 180 STREET,BEND,,,ADDRESS,BRONX,,N/A,Closed,4/10/2019 19:01,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 19:16,05 BRONX,2031440080,BRONX,1012172,249912,PHONE,Unspecified,BRONX,,,,,,,,40.8525815,-73.89906962
41934014,3/11/2019 0:00,,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Mixed Use Building,11208,675 LINCOLN AVENUE,LINCOLN AVENUE,SUTTER AVENUE,BLAKE AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,4/10/2019 12:24,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 12:35,05 BROOKLYN,3042710005,BROOKLYN,1021300,184378,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67267424,-73.86643565
41933914,3/11/2019 0:00,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Building,11221,1070A DEKALB AVENUE,DEKALB AVENUE,,,,,LATLONG,BROOKLYN,,N/A,Assigned,4/10/2019 18:25,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,3/11/2019 18:28,Unspecified BROOKLYN,,BROOKLYN,1003156,191902,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.69338324,-73.93182318
